School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Tokay,1,> 1 family,2 parents,,,,,2010-2011,,
Oleander,1,> 1 family,2 parents,,,,,2010-2011,,
Jurupa,9,> 1 family,2 parents,,,,,2010-2011,,
Mango,K,> 1 family,2 parents,,,,,2010-2011,,
Fontana M.S.,7,other,2 parents,,,,,2010-2011,,
Cypress,4,> 1 family,1 parent,,,,,2010-2011,,
Porter,K,"in a car, trailer park, or campsite",2 parents,,,,,2010-2011,,
Oleander,4,> 1 family,2 parents,,,,,2010-2011,,
Southridge,6,> 1 family,2 parents,,Yes,,,2010-2011,,
Redwood,5,> 1 family,2 parents,,,,,2010-2011,,
Date,1,> 1 family,1 parent,,,,,2010-2011,,
Redwood,5,other,2 parents,,,,,2010-2011,,
Porter,4,other,2 parents,,,,,2010-2011,,
Chaparral,2,> 1 family,2 parents,,,,,2010-2011,,
N. Tamarind,?,> 1 family,2 parents,,Yes,,,2010-2011,,
Randall Pepper,5,> 1 family,2 parents,,,,,2010-2011,,
Oleander,4,> 1 family,2 parents,,,,,2010-2011,,
Chaparral,K,> 1 family,2 parents,,,,,2010-2011,,
Jurupa,9,> 1 family,2 parents,,,,,2010-2011,,
Redwood,6,Other,2 parents,,,,,2010-2011,,
Redwood,2,Other,2 parents,,,,,2010-2011,,
Sequoia,8,> 1 family,1 parent,,,,,2010-2011,,
Ruble,6,> 1 family,1 parent & another adult,,,,,2010-2011,,
Kaiser H.S.,10,> 1 family,1 parent,,,,,2010-2011,,
Alder,8,friends or family,1 parent,,Yes,,,2010-2011,,
Truman,7,friends or family,relative/another adult,,,,,2010-2011,,
Ruble,7,> 1 family,2 parents,,,,,2010-2011,,
Not Enrolled,unk,> 1 family,1 parent,,,,,2010-2011,,
Chaparral,5,> 1 family,2 parents,,,,,2010-2011,,
Fontana M.S.,6,> 1 family,2 parents,,,,,2010-2011,,
Chaparral,2,> 1 family,2 parents,,,,,2010-2011,,
Hemlock,3,> 1 family,2 parents,,,,,2010-2011,,
Oleander,1,> 1 family,2 parents,,,,,2010-2011,,
Oleander,K,> 1 family,2 parents,,,,,2010-2011,,
A.B. Miller,10,> 1 family,1 parent & another adult,,,,,2010-2011,,
Randall Pepper,4,> 1 family,2 parents,,,,,2010-2011,,
Tokay,5,> 1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,5,>1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,2,>1 family,2 parents,,,,,2010-2011,,
Redwood,6,> 1 family,1 parent,,,,,2010-2011,,
Randall Pepper,1,> 1 family,1 parent,,,,,2010-2011,,
Porter,5,> 1 family,2 parents,,,,,2010-2011,,
Oleander,2,> 1 family,2 parents,,,,,2010-2011,,
Shadow Hills,1,> 1 family,1 parent,,,,,2010-2011,,
Redwood,2,> 1 family,2 parents,,,,,2010-2011,,
Redwood,1,> 1 family,2 parents,,Yes,,,2010-2011,,
Summit,12,friends or family,relative/another adult,,Yes,,,2010-2011,,
Cypress,3,temp w/fiends or family,2 parents,,,,,2010-2011,,
