LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,11,28,6,142,5,3,25
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,1,1,1,63,1,1,2
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,0,1,2,49,0,1,2
ALTADENA,0200008A,68,33,N,873,TOTAL,135,1,2,3,112,1,2,4
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,1,3,3,64,5,4,4
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,3,1,0,49,0,2,3
ALTADENA,0200009A,69,33,N,969,TOTAL,151,4,4,3,113,5,6,7
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,0,1,0,60,5,1,3
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,2,2,5,78,0,0,9
ALTADENA,0200011A,70,33,N,860,TOTAL,178,2,3,5,138,5,1,12
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,5,4,6,65,2,1,10
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,3,4,1,64,6,2,12
ALTADENA,0200012A,71,33,N,819,TOTAL,194,8,8,7,129,8,3,22
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,1,2,1,52,0,0,1
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,0,1,2,38,0,0,1
ALTADENA,0200013A,72,33,N,931,TOTAL,109,1,3,3,90,0,0,2
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,5,1,1,75,2,1,4
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,6,2,1,78,4,3,4
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,11,3,2,153,6,4,8
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,3,1,1,44,1,0,0
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,3,0,1,44,3,0,3
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,6,1,2,88,4,0,3
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,1,1,0,47,0,0,2
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,2,5,0,27,0,0,4
ALTADENA,0200018A,75,33,N,852,TOTAL,93,3,6,0,74,0,0,6
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,2,2,0,36,3,2,5
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,1,1,0,19,1,0,0
ALTADENA,0200019B,76,33,N,872,TOTAL,81,3,3,0,55,4,2,5
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,6,8,2,75,2,2,11
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,8,8,4,78,3,1,11
ALTADENA,0200022A,77,33,N,866,TOTAL,243,14,16,6,153,5,3,22
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,2,1,0,67,1,1,9
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,3,1,1,42,1,1,1
ALTADENA,0200025B,78,33,N,915,TOTAL,136,5,2,1,109,2,2,10
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,12,6,2,146,3,2,16
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,7,10,6,132,2,10,15
