LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
INGLEWOOD,2950020A,1125,162,N,0,VBM PORTION,95,43,0,6,1,0,21,0,12
INGLEWOOD,2950020A,1125,162,N,1078,TOTAL,231,101,0,20,1,9,51,0,20
INGLEWOOD,2950022A,1126,162,N,970,POLLING PLACE,144,76,1,15,0,2,30,2,7
INGLEWOOD,2950022A,1126,162,N,0,VBM PORTION,82,46,0,10,1,1,14,0,5
INGLEWOOD,2950022A,1126,162,N,970,TOTAL,226,122,1,25,1,3,44,2,12
INGLEWOOD,2950022B,1127,163,N,256,POLLING PLACE,30,12,0,5,0,1,7,0,1
INGLEWOOD,2950022B,1127,163,N,0,VBM PORTION,27,8,0,1,0,0,8,0,4
INGLEWOOD,2950022B,1127,163,N,256,TOTAL,57,20,0,6,0,1,15,0,5
INGLEWOOD,2950023A,1128,162,N,723,POLLING PLACE,83,37,0,9,0,3,18,1,5
INGLEWOOD,2950023A,1128,162,N,0,VBM PORTION,77,37,1,8,0,3,11,2,11
INGLEWOOD,2950023A,1128,162,N,723,TOTAL,160,74,1,17,0,6,29,3,16
INGLEWOOD,2950024A,1129,162,N,840,POLLING PLACE,81,48,0,10,0,2,14,0,1
INGLEWOOD,2950024A,1129,162,N,0,VBM PORTION,59,28,0,7,0,1,11,1,4
