LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
LOS ANGELES,9000679C,3378,89,N,1157,POLLING PLACE,109,14,24,58
LOS ANGELES,9000679C,3378,89,N,0,VBM PORTION,85,12,14,54
LOS ANGELES,9000679C,3378,89,N,1157,TOTAL,194,26,38,112
LOS ANGELES,9000694A,3386,41,N,1144,POLLING PLACE,98,16,26,47
LOS ANGELES,9000694A,3386,41,N,0,VBM PORTION,101,16,17,59
LOS ANGELES,9000694A,3386,41,N,1144,TOTAL,199,32,43,106
LOS ANGELES,9000699B,3388,41,N,706,POLLING PLACE,109,8,27,64
LOS ANGELES,9000699B,3388,41,N,0,VBM PORTION,55,4,10,34
LOS ANGELES,9000699B,3388,41,N,706,TOTAL,164,12,37,98
LOS ANGELES,9000723A,3397,41,N,1336,POLLING PLACE,75,12,15,40
LOS ANGELES,9000723A,3397,41,N,0,VBM PORTION,79,4,19,47
LOS ANGELES,9000723A,3397,41,N,1336,TOTAL,154,16,34,87
LOS ANGELES,9000731A,3400,103,N,1301,POLLING PLACE,77,7,30,32
LOS ANGELES,9000731A,3400,103,N,0,VBM PORTION,84,12,35,30
LOS ANGELES,9000731A,3400,103,N,1301,TOTAL,161,19,65,62
LOS ANGELES,9000734A,3402,41,N,1164,POLLING PLACE,56,3,13,34
LOS ANGELES,9000734A,3402,41,N,0,VBM PORTION,60,13,8,34
LOS ANGELES,9000734A,3402,41,N,1164,TOTAL,116,16,21,68
LOS ANGELES,9000750A,3406,41,N,969,POLLING PLACE,73,8,17,31
LOS ANGELES,9000750A,3406,41,N,0,VBM PORTION,65,7,10,28
LOS ANGELES,9000750A,3406,41,N,969,TOTAL,138,15,27,59
