LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,88,1,14,44,9,20
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,21,0,3,18,2,2
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,18,4,3,13,4,7
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,39,4,6,31,6,9
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,21,3,3,19,2,1
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,11,2,2,13,4,6
ALTADENA,0200018A,75,33,N,852,TOTAL,93,32,5,5,32,6,7
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,15,2,2,15,5,9
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,4,0,4,10,1,4
ALTADENA,0200019B,76,33,N,872,TOTAL,81,19,2,6,25,6,13
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,32,2,0,25,7,44
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,30,6,2,35,16,22
ALTADENA,0200022A,77,33,N,866,TOTAL,243,62,8,2,60,23,66
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,29,4,1,24,6,12
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,18,3,3,12,2,6
ALTADENA,0200025B,78,33,N,915,TOTAL,136,47,7,4,36,8,18
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,74,6,6,49,14,33
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,66,10,10,39,18,41
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,140,16,16,88,32,74
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,34,4,4,16,16,34
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,38,8,2,25,18,40
ALTADENA,0200030A,80,33,N,889,TOTAL,261,72,12,6,41,34,74
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0,0,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0,0,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0,0,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,48,6,5,44,29,51
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,38,5,3,29,16,34
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,86,11,8,73,45,85
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,46,3,3,37,22,57
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,30,4,2,25,20,41
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,76,7,5,62,42,98
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,34,6,2,31,18,42
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,27,10,4,24,12,23
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,61,16,6,55,30,65
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,23,3,1,17,8,19
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,13,2,4,13,7,11
ALTADENA,0200044A,84,33,N,985,TOTAL,136,36,5,5,30,15,30
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,48,4,5,26,7,24
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,39,2,8,24,13,37
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,87,6,13,50,20,61
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,61,7,7,36,5,18
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,52,5,4,44,10,16
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,113,12,11,80,15,34
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0,0,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,2,0,0,0,3,0
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,2,0,0,0,3,0
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,37,5,4,14,5,15
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,11,4,5,24,7,4
ALTADENA,0200087A,87,33,N,703,TOTAL,153,48,9,9,38,12,19
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,35,8,7,44,14,19
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,57,6,5,34,8,17
